k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_H;d_B;d_t;d_ro;d_ri
KP-250X250X12.5;K;250×250;12.5;250×250×12,5;250 × 250;87.95;112.04;10160.43;10160.43;812.83;812.83;9.52;9.52;0.936;250;250;12.5;37.5;25.0
KP-260X260X5;K;260×260;5;260×260×5;260 × 260;39.53;50.36;5421.93;5421.93;417.07;417.07;10.38;10.38;1.023;260;260;5;10;5
KP-260X260X6;K;260×260;6;260×260×6;260 × 260;47.13;60.03;6404.4;6404.4;492.65;492.65;10.33;10.33;1.019;260;260;6;12;6
KP-260X260X8;K;260×260;8;260×260×8;260 × 260;61.58;78.44;8177.69;8177.69;629.05;629.05;10.21;10.21;1.006;260;260;8;20.0;12.0
KP-260X260X10;K;260×260;10;260×260×10;260 × 260;75.8;96.56;9864.14;9864.14;758.78;758.78;10.11;10.11;0.997;260;260;10;25.0;15.0
KP-260X260X12.5;K;260×260;12.5;260×260×12,5;260 × 260;91.87;117.04;11546.93;11546.93;888.23;888.23;9.93;9.93;0.976;260;260;12.5;37.5;25.0
KP-300X300X5;K;300×300;5;300×300×5;300 × 300;45.81;58.36;8416.75;8416.75;561.12;561.12;12.01;12.01;1.183;300;300;5;10;5
KP-300X300X6;K;300×300;6;300×300×6;300 × 300;54.66;69.63;9963.48;9963.48;664.23;664.23;11.96;11.96;1.179;300;300;6;12;6
KP-300X300X8;K;300×300;8;300×300×8;300 × 300;71.62;91.24;12800.25;12800.25;853.35;853.35;11.84;11.84;1.166;300;300;8;20.0;12.0
KP-300X300X10;K;300×300;10;300×300×10;300 × 300;88.36;112.56;15518.69;15518.69;1034.58;1034.58;11.74;11.74;1.157;300;300;10;25.0;15.0
KP-300X300X12.5;K;300×300;12.5;300×300×12,5;300 × 300;107.57;137.04;18346.84;18346.84;1223.12;1223.12;11.57;11.57;1.136;300;300;12.5;37.5;25.0
KP-350X350X6;K;350×350;6;350×350×6;350 × 350;64.08;81.63;16007.49;16007.49;914.71;914.71;14.0;14.0;1.379;350;350;6;12;6
KP-350X350X8;K;350×350;8;350×350×8;350 × 350;84.18;107.24;20680.1;20680.1;1181.72;1181.72;13.89;13.89;1.366;350;350;8;20.0;12.0
KP-350X350X10;K;350×350;10;350×350×10;350 × 350;104.06;132.56;25188.21;25188.21;1439.33;1439.33;13.78;13.78;1.357;350;350;10;25.0;15.0
KP-350X350X12.5;K;350×350;12.5;350×350×12,5;350 × 350;127.2;162.04;30043.09;30043.09;1716.75;1716.75;13.62;13.62;1.336;350;350;12.5;37.5;25.0
KP-400X400X6;K;400×400;6;400×400×6;400 × 400;73.5;93.63;24103.9;24103.9;1205.19;1205.19;16.04;16.04;1.579;400;400;6;12;6
KP-400X400X8;K;400×400;8;400×400×8;400 × 400;96.74;123.24;31268.45;31268.45;1563.42;1563.42;15.93;15.93;1.566;400;400;8;20.0;12.0
KP-400X400X10;K;400×400;10;400×400×10;400 × 400;119.76;152.56;38214.76;38214.76;1910.74;1910.74;15.83;15.83;1.557;400;400;10;25.0;15.0
KP-400X400X12.5;K;400×400;12.5;400×400×12,5;400 × 400;146.82;187.04;45874.19;45874.19;2293.71;2293.71;15.66;15.66;1.536;400;400;12.5;37.5;25.0
