k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;iv;ey;ex;U;d_a;d_b;d_t;d_r
L-60X30X6;N;60×30;6;L 60×30×6;60 × 30;3.97;5.06;18.26;3.06;4.82;1.34;1.9;0.78;0.63;2.21;0.72;0.18;60;30;6;4.5
L-60X40X5;N;60×40;5;L 60×40×5;60 × 40;3.75;4.78;17.22;6.14;4.26;2.03;1.9;1.13;0.86;1.96;0.97;0.2;60;40;5;5.4
L-60X40X6;N;60×40;6;L 60×40×6;60 × 40;4.45;5.67;20.18;7.15;5.05;2.39;1.89;1.12;0.86;2.0;1.01;0.2;60;40;6;5.4
L-60X40X7;N;60×40;7;L 60×40×7;60 × 40;5.13;6.54;22.99;8.1;5.81;2.75;1.87;1.11;0.85;2.04;1.05;0.2;60;40;7;5.4
L-65X50X5;N;65×50;5;L 65×50×5;65 × 50;4.35;5.54;23.14;11.9;5.13;3.18;2.04;1.47;1.07;1.99;1.25;0.23;65;50;5;6.3
L-65X50X7;N;65×50;7;L 65×50×7;65 × 50;5.97;7.6;31.06;15.88;7.02;4.33;2.02;1.45;1.06;2.07;1.33;0.23;65;50;7;6.3
L-70X50X6;N;70×50;6;L 70×50×6;70 × 50;5.4;6.88;33.49;14.24;7.03;3.8;2.21;1.44;1.07;2.24;1.25;0.24;70;50;6;6.3
L-75X50X6;N;75×50;6;L 75×50×6;75 × 50;5.64;7.18;40.62;14.51;8.03;3.83;2.38;1.42;1.08;2.44;1.21;0.25;75;50;6;6.3
L-75X50X7;N;75×50;7;L 75×50×7;75 × 50;6.52;8.3;46.49;16.53;9.27;4.41;2.37;1.41;1.08;2.49;1.25;0.25;75;50;7;6.3
L-75X50X8;N;75×50;8;L 75×50×8;75 × 50;7.38;9.4;52.11;18.44;10.48;4.97;2.35;1.4;1.07;2.53;1.29;0.25;75;50;8;6.3
L-80X40X6;N;80×40;6;L 80×40×6;80 × 40;5.39;6.87;45.06;7.69;8.78;2.47;2.56;1.06;0.85;2.87;0.89;0.24;80;40;6;5.4
L-80X40X8;N;80×40;8;L 80×40×8;80 × 40;7.06;8.99;57.76;9.7;11.44;3.2;2.53;1.04;0.84;2.95;0.97;0.24;80;40;8;5.4
