stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-200X200X6;Kare;200×200×6;200;200;6;35.82;45.63;2832.73;2832.73;283.27;283.27;7.88;7.88;0.779;214.93;429.86
KP-200X200X8;Kare;200×200×8;200;200;8;46.51;59.24;3566.22;3566.22;356.62;356.62;7.76;7.76;0.766;279.03;558.06
KP-200X200X10;Kare;200×200×10;200;200;10;56.96;72.57;4251.0;4251.0;425.1;425.1;7.65;7.65;0.757;341.78;683.57
KP-220X220X5;Kare;220×220×5;220;220;5;33.25;42.36;3238.01;3238.01;294.36;294.36;8.74;8.74;0.863;199.5;398.99
KP-220X220X6;Kare;220×220×6;220;220;6;39.59;50.43;3813.34;3813.34;346.67;346.67;8.7;8.7;0.859;237.54;475.08
KP-220X220X8;Kare;220×220×8;220;220;8;51.53;65.64;4827.96;4827.96;438.91;438.91;8.58;8.58;0.846;309.17;618.35
KP-220X220X10;Kare;220×220×10;220;220;10;63.24;80.57;5782.39;5782.39;525.67;525.67;8.47;8.47;0.837;379.46;758.93
KP-220X220X12.5;Kare;220×220×12,5;220;220;12.5;76.18;97.04;6673.85;6673.85;606.71;606.71;8.29;8.29;0.816;457.07;914.14
KP-250X250X5;Kare;250×250×5;250;250;5;37.96;48.36;4804.99;4804.99;384.4;384.4;9.97;9.97;0.983;227.76;455.51
KP-250X250X6;Kare;250×250×6;250;250;6;45.24;57.63;5671.98;5671.98;453.76;453.76;9.92;9.92;0.979;271.45;542.9
KP-250X250X8;Kare;250×250×8;250;250;8;59.07;75.24;7229.15;7229.15;578.33;578.33;9.8;9.8;0.966;354.39;708.78
KP-250X250X10;Kare;250×250×10;250;250;10;72.66;92.57;8706.58;8706.58;696.53;696.53;9.7;9.7;0.957;435.98;871.97
KP-250X250X12.5;Kare;250×250×12,5;250;250;12.5;87.95;112.04;10161.14;10161.14;812.89;812.89;9.52;9.52;0.936;527.72;1055.44
KP-260X260X5;Kare;260×260×5;260;260;5;39.53;50.36;5422.01;5422.01;417.08;417.08;10.38;10.38;1.023;237.18;474.35
KP-260X260X6;Kare;260×260×6;260;260;6;47.13;60.03;6404.51;6404.51;492.65;492.65;10.33;10.33;1.019;282.75;565.51
KP-260X260X8;Kare;260×260×8;260;260;8;61.58;78.44;8177.95;8177.95;629.07;629.07;10.21;10.21;1.006;369.46;738.92
KP-260X260X10;Kare;260×260×10;260;260;10;75.8;96.57;9864.55;9864.55;758.81;758.81;10.11;10.11;0.997;454.82;909.65
KP-260X260X12.5;Kare;260×260×12,5;260;260;12.5;91.88;117.04;11547.7;11547.7;888.28;888.28;9.93;9.93;0.976;551.27;1102.54
KP-300X300X5;Kare;300×300×5;300;300;5;45.81;58.36;8416.86;8416.86;561.12;561.12;12.01;12.01;1.183;274.86;549.71
KP-300X300X6;Kare;300×300×6;300;300;6;54.66;69.63;9963.63;9963.63;664.24;664.24;11.96;11.96;1.179;327.97;655.94
KP-300X300X8;Kare;300×300×8;300;300;8;71.63;91.24;12800.6;12800.6;853.37;853.37;11.84;11.84;1.166;429.75;859.5
KP-300X300X10;Kare;300×300×10;300;300;10;88.36;112.57;15519.23;15519.23;1034.62;1034.62;11.74;11.74;1.157;530.18;1060.37
KP-300X300X12.5;Kare;300×300×12,5;300;300;12.5;107.58;137.04;18347.88;18347.88;1223.19;1223.19;11.57;11.57;1.136;645.47;1290.94
KP-350X350X6;Kare;350×350×6;350;350;6;64.08;81.63;16007.69;16007.69;914.73;914.73;14.0;14.0;1.379;384.49;768.98
KP-350X350X8;Kare;350×350×8;350;350;8;84.19;107.24;20680.58;20680.58;1181.75;1181.75;13.89;13.89;1.366;505.11;1010.22
KP-350X350X10;Kare;350×350×10;350;350;10;104.06;132.57;25188.95;25188.95;1439.37;1439.37;13.78;13.78;1.357;624.38;1248.77
KP-350X350X12.5;Kare;350×350×12,5;350;350;12.5;127.2;162.04;30044.52;30044.52;1716.83;1716.83;13.62;13.62;1.336;763.22;1526.44
