stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-400X400X6;Kare;400×400×6;400;400;6;73.5;93.63;24104.17;24104.17;1205.21;1205.21;16.04;16.04;1.579;441.01;882.02
KP-400X400X8;Kare;400×400×8;400;400;8;96.75;123.24;31269.09;31269.09;1563.45;1563.45;15.93;15.93;1.566;580.47;1160.94
KP-400X400X10;Kare;400×400×10;400;400;10;119.76;152.57;38215.75;38215.75;1910.79;1910.79;15.83;15.83;1.557;718.58;1437.17
KP-400X400X12.5;Kare;400×400×12,5;400;400;12.5;146.83;187.04;45876.07;45876.07;2293.8;2293.8;15.66;15.66;1.536;880.97;1761.94
KP-20X10X1.2;Dikdörtgen;20×10×1,2;20;10;1.2;0.49;0.63;0.29;0.09;0.29;0.19;0.68;0.39;0.056;2.95;5.89
KP-20X10X1.5;Dikdörtgen;20×10×1,5;20;10;1.5;0.59;0.75;0.33;0.11;0.33;0.21;0.66;0.37;0.055;3.54;7.08
KP-20X10X2;Dikdörtgen;20×10×2;20;10;2;0.74;0.94;0.37;0.12;0.37;0.23;0.63;0.35;0.053;4.41;8.83
KP-30X15X1.2;Dikdörtgen;30×15×1,2;30;15;1.2;0.77;0.99;1.09;0.36;0.72;0.49;1.05;0.61;0.086;4.64;9.28
KP-30X15X1.5;Dikdörtgen;30×15×1,5;30;15;1.5;0.94;1.2;1.28;0.42;0.85;0.57;1.03;0.59;0.085;5.66;11.32
KP-30X15X2;Dikdörtgen;30×15×2;30;15;2;1.21;1.54;1.54;0.5;1.03;0.67;1.0;0.57;0.083;7.24;14.48
KP-30X15X2.5;Dikdörtgen;30×15×2,5;30;15;2.5;1.44;1.84;1.73;0.56;1.16;0.74;0.97;0.55;0.081;8.66;17.32
KP-30X15X3;Dikdörtgen;30×15×3;30;15;3;1.65;2.11;1.86;0.59;1.24;0.78;0.94;0.53;0.08;9.93;19.86
KP-30X20X1.2;Dikdörtgen;30×20×1,2;30;20;1.2;0.87;1.11;1.34;0.71;0.89;0.71;1.1;0.8;0.096;5.21;10.41
KP-30X20X1.5;Dikdörtgen;30×20×1,5;30;20;1.5;1.06;1.35;1.59;0.84;1.06;0.84;1.08;0.79;0.095;6.37;12.74
KP-30X20X2;Dikdörtgen;30×20×2;30;20;2;1.36;1.74;1.94;1.02;1.29;1.02;1.06;0.77;0.093;8.18;16.36
KP-30X20X2.5;Dikdörtgen;30×20×2,5;30;20;2.5;1.64;2.09;2.21;1.15;1.47;1.15;1.03;0.74;0.091;9.84;19.68
KP-30X20X3;Dikdörtgen;30×20×3;30;20;3;1.89;2.41;2.41;1.25;1.6;1.25;1.0;0.72;0.09;11.34;22.69
